ilan_ilce,ilan_fiyat,net_metrekare,oda_sayısı,bulunduğu_kat,ısıtma_tipi,krediye_uygunluk,banyo_sayısı,tipi,brüt_metrekare,binanın_yaşı,binanın_kat_sayısı,site_içerisinde
11,3257625,70,1,11,0,0,0,1,75,0,5,1
11,4735900,90,1,6,0,0,0,1,100,5,4,1
11,4499105,90,1,17,0,0,0,1,95,0,4,1
11,5619510,85,1,2,0,0,0,1,90,5,4,1
11,4262310,80,1,2,0,0,0,1,90,5,4,1
11,14076625,85,3,18,0,1,1,1,95,5,3,1
11,24111560,185,1,10,3,0,1,4,220,7,13,1
11,26158860,150,11,2,0,0,1,2,156,5,1,1
11,18020800,135,3,2,0,0,0,1,140,5,4,1
11,20537460,160,3,20,5,0,1,1,180,0,2,1
11,22819400,180,3,17,5,0,2,1,200,0,2,1
11,10822828,90,3,12,0,0,0,1,103,0,4,1
11,12083740,95,3,2,0,0,1,1,115,0,4,1
11,26303520,180,3,7,3,0,1,4,240,0,13,0
11,33133155,145,0,12,0,0,0,1,165,5,4,1
11,7368270,115,3,9,0,0,0,1,130,5,3,1
11,36776600,330,3,7,0,0,3,4,350,2,13,0
11,20949550,110,3,14,3,0,0,1,115,5,8,1
11,10941200,77,6,9,0,0,2,1,85,5,2,1
11,13151760,110,3,14,0,0,0,1,120,5,10,1
11,13672890,85,1,18,0,0,0,1,110,5,6,1
11,8406080,66,1,18,0,1,0,1,80,5,4,1
11,4007520,62,1,9,0,1,0,1,80,5,2,1
11,9635430,150,5,21,0,0,1,1,170,0,5,1
11,23015580,190,5,12,3,0,1,1,210,5,9,1
11,3691975,75,1,2,0,1,0,1,85,5,3,1
11,19887840,145,3,6,3,0,0,1,160,5,5,1
11,49319100,428,5,4,0,0,2,4,450,2,11,0
11,20527040,130,3,18,0,0,2,1,160,0,2,1
11,38488200,250,6,9,0,0,2,1,300,0,2,1
11,10619040,140,3,6,0,0,0,1,160,5,7,0
11,14159200,90,0,11,3,0,0,1,110,7,3,0
11,14159200,90,0,11,3,0,0,1,110,7,3,0
11,15446400,100,1,17,3,0,1,1,120,7,3,0
11,38616000,265,3,20,3,0,1,1,300,7,3,0
23,3724660,70,1,2,0,0,0,1,86,5,2,1
23,5403300,80,1,18,0,0,0,1,100,7,3,1
23,6267380,120,2,11,3,0,1,1,140,7,3,1
23,3654460,75,1,18,0,0,0,1,95,8,4,1
23,4337620,115,3,2,0,0,0,1,140,3,5,1
23,3912860,85,1,2,0,0,0,1,95,5,2,1
23,4077620,75,1,6,0,0,0,1,85,0,3,1
23,3581360,70,1,18,3,0,0,1,80,7,3,1
23,4317480,80,1,11,0,0,0,1,90,5,3,1
23,10806600,173,4,20,3,0,2,1,200,7,3,1
23,4077620,75,1,6,0,0,1,1,85,0,3,1
23,3897900,80,1,2,0,0,0,1,90,8,3,1
23,3681350,75,1,17,0,0,0,1,85,8,3,1
23,2869298,53,0,2,0,0,0,1,62,0,3,1
23,8915445,127,3,9,0,0,1,1,165,7,4,1
23,2399120,70,1,1,0,0,0,1,80,8,3,1
23,2983190,60,1,9,0,0,0,1,70,0,5,1
23,3409360,70,1,18,0,0,0,1,80,5,3,1
23,5553480,115,3,15,0,0,0,1,120,5,7,1
23,3897900,70,1,2,0,0,0,1,90,0,3,1
23,5943630,90,3,6,0,0,0,1,110,0,4,1
23,9528200,200,4,12,0,0,1,1,220,0,4,1
23,4322640,65,1,2,0,0,0,1,80,0,4,1
23,3148845,92,1,18,0,0,0,1,105,2,4,1
23,4862970,70,1,18,3,0,0,1,90,0,3,1
23,4592805,73,1,18,0,0,1,1,85,2,3,1
23,5727498,95,1,9,0,0,1,1,106,8,3,0
23,5276920,100,3,2,0,0,0,1,110,8,3,1
23,3409360,76,1,2,0,0,0,1,80,5,3,1
23,2478640,62,1,2,0,0,0,1,80,0,3,1
23,5276920,100,3,2,0,0,0,1,110,8,3,1
23,3409360,76,1,2,0,0,0,1,80,5,3,1
23,2478640,62,1,2,0,0,0,1,80,0,3,1
23,2695521,70,1,11,0,0,0,1,87,0,4,1
23,3681350,75,1,9,0,0,0,1,85,0,3,1
23,7369785,105,3,13,0,0,0,1,135,0,6,1
23,4034316,70,1,18,0,0,0,1,78,8,3,1
23,1965436,35,0,14,3,0,0,4,38,8,8,0
23,3897900,75,1,9,0,0,0,1,90,0,3,1
23,6384140,120,3,14,0,0,0,1,155,2,8,1
23,8237600,175,5,11,0,0,2,1,200,8,3,1
23,3409360,75,0,18,0,0,0,1,80,7,5,1
23,7675520,140,4,11,0,0,1,1,160,0,3,1
23,2633555,75,1,0,0,0,0,1,85,8,2,1
23,4592805,70,1,6,0,0,0,1,85,0,3,1
23,2943385,90,1,6,0,0,1,1,95,5,9,1
